SAMPLE_ID1,SAMPLE_ID2,SAMPLE_ID3,LAB_L,LAB_A,LAB_B,nm380,nm390,nm400,nm410,nm420,nm430,nm440,nm450,nm460,nm470,nm480,nm490,nm500,nm510,nm520,nm530,nm540,nm550,nm560,nm570,nm580,nm590,nm600,nm610,nm620,nm630,nm640,nm650,nm660,nm670,nm680,nm690,nm700,nm710,nm720,nm730
"""TR651_T35_P2_dmax-1 M1""","""""","""""",58.20,8.24,23.53,1.173651E-1,1.186128E-1,1.196438E-1,1.211604E-1,1.228081E-1,1.260033E-1,1.296554E-1,1.351784E-1,1.420217E-1,1.499812E-1,1.589164E-1,1.693262E-1,1.814652E-1,1.938916E-1,2.073154E-1,2.215818E-1,2.356925E-1,2.495909E-1,2.633171E-1,2.787254E-1,2.932269E-1,3.083643E-1,3.237292E-1,3.399083E-1,3.558981E-1,3.717460E-1,3.884931E-1,4.060569E-1,4.232592E-1,4.391273E-1,4.551779E-1,4.710919E-1,4.878356E-1,5.038381E-1,5.189226E-1,5.337248E-1
"""TR651_T35_P2_dmax-1 M2""","""""","""""",58.19,8.23,23.60,0.000000E+0,0.000000E+0,1.196438E-1,1.197680E-1,1.221752E-1,1.257131E-1,1.294811E-1,1.350502E-1,1.419458E-1,1.498670E-1,1.588294E-1,1.691790E-1,1.812712E-1,1.937446E-1,2.071978E-1,2.215396E-1,2.354653E-1,2.495332E-1,2.633171E-1,2.787254E-1,2.932269E-1,3.083643E-1,3.237292E-1,3.399083E-1,3.558981E-1,3.717460E-1,3.884931E-1,4.060569E-1,4.232592E-1,4.391273E-1,4.551779E-1,4.710919E-1,4.878356E-1,5.038381E-1,5.189226E-1,5.337248E-1
"""TR651_T35_P2_dmax-2 M0""","""""","""""",58.40,8.21,23.45,1.180784E-1,1.201330E-1,1.209002E-1,1.225267E-1,1.239756E-1,1.275391E-1,1.314411E-1,1.370658E-1,1.438955E-1,1.518303E-1,1.608694E-1,1.713388E-1,1.833778E-1,1.956173E-1,2.092577E-1,2.235479E-1,2.377465E-1,2.518456E-1,2.656615E-1,2.811176E-1,2.953810E-1,3.105067E-1,3.260817E-1,3.423443E-1,3.584288E-1,3.743781E-1,3.909927E-1,4.082557E-1,4.255705E-1,4.415668E-1,4.574260E-1,4.734186E-1,4.901300E-1,5.059083E-1,5.208845E-1,5.357677E-1
"""TR651_T35_P2_dmax-2 M1""","""""","""""",58.40,8.21,23.43,1.180784E-1,1.201330E-1,1.209002E-1,1.231984E-1,1.243809E-1,1.277043E-1,1.314926E-1,1.371187E-1,1.439385E-1,1.518908E-1,1.609366E-1,1.713955E-1,1.834300E-1,1.957216E-1,2.093307E-1,2.236226E-1,2.378425E-1,2.519122E-1,2.656615E-1,2.811176E-1,2.953810E-1,3.105067E-1,3.260817E-1,3.423443E-1,3.584288E-1,3.743781E-1,3.909927E-1,4.082557E-1,4.255705E-1,4.415668E-1,4.574260E-1,4.734186E-1,4.901300E-1,5.059083E-1,5.208845E-1,5.357677E-1
"""TR651_T35_P2_dmax-2 M2""","""""","""""",58.40,8.19,23.54,0.000000E+0,0.000000E+0,1.209002E-1,1.202216E-1,1.230746E-1,1.272476E-1,1.312750E-1,1.368359E-1,1.437617E-1,1.517036E-1,1.607433E-1,1.712544E-1,1.833071E-1,1.955071E-1,2.092047E-1,2.234918E-1,2.376709E-1,2.517818E-1,2.656615E-1,2.811176E-1,2.953810E-1,3.105067E-1,3.260817E-1,3.423443E-1,3.584288E-1,3.743781E-1,3.909927E-1,4.082557E-1,4.255705E-1,4.415668E-1,4.574260E-1,4.734186E-1,4.901300E-1,5.059083E-1,5.208845E-1,5.357677E-1
"""TR651_T35_P2_dmin-0 M0""","""""","""""",90.70,-0.16,10.44,4.767343E-1,5.132710E-1,5.405470E-1,5.631580E-1,5.848359E-1,6.072138E-1,6.269900E-1,6.457243E-1,6.644577E-1,6.805702E-1,6.958434E-1,7.107490E-1,7.238321E-1,7.346282E-1,7.459095E-1,7.573673E-1,7.694017E-1,7.790840E-1,7.863685E-1,7.962113E-1,8.016246E-1,8.077679E-1,8.142843E-1,8.211474E-1,8.271063E-1,8.312977E-1,8.363788E-1,8.418984E-1,8.470647E-1,8.504924E-1,8.529671E-1,8.564050E-1,8.611111E-1,8.653421E-1,8.685452E-1,8.727679E-1
"""TR651_T35_P2_dmin-0 M1""","""""","""""",90.71,-0.20,10.42,4.767343E-1,5.132710E-1,5.405470E-1,5.632960E-1,5.852617E-1,6.079641E-1,6.274740E-1,6.460655E-1,6.649310E-1,6.812122E-1,6.964997E-1,7.115408E-1,7.246276E-1,7.353936E-1,7.466416E-1,7.582097E-1,7.702824E-1,7.794221E-1,7.863685E-1,7.962113E-1,8.016246E-1,8.077679E-1,8.142843E-1,8.211474E-1,8.271063E-1,8.312977E-1,8.363788E-1,8.418984E-1,8.470647E-1,8.504924E-1,8.529671E-1,8.564050E-1,8.611111E-1,8.653421E-1,8.685452E-1,8.727679E-1
"""TR651_T35_P2_dmin-0 M2""","""""","""""",90.68,-0.18,10.58,0.000000E+0,0.000000E+0,5.405470E-1,5.626845E-1,5.838891E-1,6.058889E-1,6.254259E-1,6.442409E-1,6.629841E-1,6.792262E-1,6.946122E-1,7.095707E-1,7.227566E-1,7.338203E-1,7.453771E-1,7.567350E-1,7.687084E-1,7.787600E-1,7.863685E-1,7.962113E-1,8.016246E-1,8.077679E-1,8.142843E-1,8.211474E-1,8.271063E-1,8.312977E-1,8.363788E-1,8.418984E-1,8.470647E-1,8.504924E-1,8.529671E-1,8.564050E-1,8.611111E-1,8.653421E-1,8.685452E-1,8.727679E-1
"""TR651_T35_P2_dmin-1 M0""","""""","""""",90.82,-0.19,10.27,4.807838E-1,5.190820E-1,5.465161E-1,5.683430E-1,5.897591E-1,6.119311E-1,6.315007E-1,6.502499E-1,6.684108E-1,6.847308E-1,6.997322E-1,7.144935E-1,7.276261E-1,7.381889E-1,7.493702E-1,7.605320E-1,7.723848E-1,7.818590E-1,7.888256E-1,7.987271E-1,8.039854E-1,8.101553E-1,8.163446E-1,8.232254E-1,8.290390E-1,8.329693E-1,8.380368E-1,8.435963E-1,8.488515E-1,8.520519E-1,8.543562E-1,8.573514E-1,8.623835E-1,8.660843E-1,8.694140E-1,8.739436E-1
"""TR651_T35_P2_dmin-1 M1""","""""","""""",90.84,-0.22,10.26,4.807838E-1,5.190820E-1,5.465161E-1,5.684211E-1,5.902157E-1,6.126439E-1,6.319348E-1,6.505783E-1,6.688603E-1,6.853691E-1,7.003943E-1,7.152831E-1,7.283955E-1,7.389989E-1,7.501572E-1,7.613561E-1,7.733027E-1,7.821929E-1,7.888256E-1,7.987271E-1,8.039854E-1,8.101553E-1,8.163446E-1,8.232254E-1,8.290390E-1,8.329693E-1,8.380368E-1,8.435963E-1,8.488515E-1,8.520519E-1,8.543562E-1,8.573514E-1,8.623835E-1,8.660843E-1,8.694140E-1,8.739436E-1
"""TR651_T35_P2_dmin-1 M2""","""""","""""",90.81,-0.21,10.42,0.000000E+0,0.000000E+0,5.465161E-1,5.680751E-1,5.887441E-1,6.106725E-1,6.300977E-1,6.488219E-1,6.670117E-1,6.833948E-1,6.984903E-1,7.133185E-1,7.265859E-1,7.373339E-1,7.487978E-1,7.599136E-1,7.716621E-1,7.815391E-1,7.888256E-1,7.987271E-1,8.039854E-1,8.101553E-1,8.163446E-1,8.232254E-1,8.290390E-1,8.329693E-1,8.380368E-1,8.435963E-1,8.488515E-1,8.520519E-1,8.543562E-1,8.573514E-1,8.623835E-1,8.660843E-1,8.694140E-1,8.739436E-1
"""TR651_T35_P2_dmin-2 M0""","""""","""""",90.75,-0.18,10.35,4.806341E-1,5.172145E-1,5.436223E-1,5.659967E-1,5.873495E-1,6.098020E-1,6.290693E-1,6.478466E-1,6.661939E-1,6.823832E-1,6.979536E-1,7.126896E-1,7.256167E-1,7.364455E-1,7.475024E-1,7.587718E-1,7.709031E-1,7.803882E-1,7.872682E-1,7.971587E-1,8.026128E-1,8.085756E-1,8.151177E-1,8.218551E-1,8.278116E-1,8.318285E-1,8.369336E-1,8.427895E-1,8.479021E-1,8.511694E-1,8.535631E-1,8.564968E-1,8.616295E-1,8.653427E-1,8.688492E-1,8.735259E-1
"""TR651_T35_P2_dmin-2 M1""","""""","""""",90.77,-0.22,10.33,4.806341E-1,5.172145E-1,5.436223E-1,5.663251E-1,5.878626E-1,6.106271E-1,6.295578E-1,6.481809E-1,6.666480E-1,6.830190E-1,6.986141E-1,7.134917E-1,7.263912E-1,7.371882E-1,7.482396E-1,7.595924E-1,7.717538E-1,7.807007E-1,7.872682E-1,7.971587E-1,8.026128E-1,8.085756E-1,8.151177E-1,8.218551E-1,8.278116E-1,8.318285E-1,8.369336E-1,8.427895E-1,8.479021E-1,8.511694E-1,8.535631E-1,8.564968E-1,8.616295E-1,8.653427E-1,8.688492E-1,8.735259E-1
"""TR651_T35_P2_dmin-2 M2""","""""","""""",90.74,-0.21,10.50,0.000000E+0,0.000000E+0,5.436223E-1,5.648698E-1,5.862086E-1,6.083451E-1,6.274906E-1,6.463928E-1,6.647804E-1,6.810524E-1,6.967143E-1,7.114957E-1,7.245696E-1,7.356616E-1,7.469664E-1,7.581559E-1,7.702333E-1,7.800888E-1,7.872682E-1,7.971587E-1,8.026128E-1,8.085756E-1,8.151177E-1,8.218551E-1,8.278116E-1,8.318285E-1,8.369336E-1,8.427895E-1,8.479021E-1,8.511694E-1,8.535631E-1,8.564968E-1,8.616295E-1,8.653427E-1,8.688492E-1,8.735259E-1
"""TR651_T35_P3_dmax-0 M0""","""""","""""",58.17,9.29,16.78,1.576105E-1,1.612493E-1,1.618030E-1,1.614666E-1,1.615440E-1,1.626419E-1,1.642134E-1,1.670060E-1,1.706376E-1,1.752857E-1,1.805546E-1,1.870863E-1,1.944857E-1,2.021736E-1,2.115341E-1,2.225457E-1,2.342136E-1,2.464293E-1,2.589958E-1,2.735310E-1,2.874705E-1,3.027059E-1,3.185233E-1,3.353630E-1,3.518504E-1,3.677947E-1,3.849685E-1,4.026784E-1,4.199299E-1,4.359314E-1,4.517155E-1,4.671633E-1,4.828114E-1,4.980224E-1,5.118259E-1,5.239156E-1
"""TR651_T35_P3_dmax-0 M1""","""""","""""",58.17,9.28,16.78,1.576105E-1,1.612493E-1,1.618030E-1,1.613788E-1,1.615180E-1,1.626688E-1,1.642608E-1,1.670375E-1,1.706752E-1,1.753312E-1,1.806017E-1,1.871609E-1,1.945506E-1,2.021949E-1,2.116026E-1,2.226247E-1,2.342919E-1,2.464420E-1,2.589958E-1,2.735310E-1,2.874705E-1,3.027059E-1,3.185233E-1,3.353630E-1,3.518504E-1,3.677947E-1,3.849685E-1,4.026784E-1,4.199299E-1,4.359314E-1,4.517155E-1,4.671633E-1,4.828114E-1,4.980224E-1,5.118259E-1,5.239156E-1
"""TR651_T35_P3_dmax-0 M2""","""""","""""",58.17,9.27,16.84,0.000000E+0,0.000000E+0,1.618030E-1,1.617677E-1,1.616016E-1,1.625945E-1,1.640602E-1,1.668690E-1,1.705207E-1,1.751905E-1,1.804663E-1,1.869752E-1,1.943980E-1,2.021511E-1,2.114843E-1,2.224864E-1,2.341520E-1,2.464171E-1,2.589958E-1,2.735310E-1,2.874705E-1,3.027059E-1,3.185233E-1,3.353630E-1,3.518504E-1,3.677947E-1,3.849685E-1,4.026784E-1,4.199299E-1,4.359314E-1,4.517155E-1,4.671633E-1,4.828114E-1,4.980224E-1,5.118259E-1,5.239156E-1
"""TR651_T35_P3_dmax-1 M0""","""""","""""",58.41,9.38,17.42,1.575802E-1,1.605033E-1,1.596904E-1,1.598725E-1,1.602849E-1,1.611591E-1,1.626594E-1,1.660792E-1,1.697319E-1,1.742572E-1,1.797195E-1,1.865950E-1,1.946746E-1,2.029458E-1,2.129083E-1,2.241163E-1,2.361113E-1,2.487197E-1,2.616691E-1,2.768533E-1,2.912185E-1,3.068817E-1,3.229149E-1,3.398581E-1,3.562580E-1,3.724415E-1,3.898936E-1,4.079950E-1,4.254706E-1,4.413951E-1,4.575298E-1,4.731275E-1,4.887748E-1,5.041910E-1,5.179136E-1,5.296093E-1
